年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30
113	1	1	18	35	25.1213091	121.4993531	0	2	0
113	1	1	18	35	25.1213091	121.4993531	0	2	0
113	1	1	20	55	25.03864097	121.4961612	0	1	0
113	1	1	20	55	25.03864097	121.4961612	0	1	0
113	1	1	21	4	25.0004179	121.568748	0	1	0
113	1	1	21	4	25.0004179	121.568748	0	1	0
113	1	1	21	8	25.04550868	121.5031022	0	1	0
113	1	1	21	8	25.04550868	121.5031022	0	1	0
113	1	1	21	49	25.0659748	121.5437173	0	2	0
113	1	1	21	49	25.0659748	121.5437173	0	2	0
113	1	2	1	37	25.0113654	121.5368753	0	1	0
113	1	2	1	37	25.0113654	121.5368753	0	1	0
113	1	2	7	0	25.0645018	121.5933252	0	1	0
113	1	2	7	0	25.0645018	121.5933252	0	1	0
113	1	2	7	28	25.04210862	121.4996253	0	1	0
113	1	2	7	28	25.04210862	121.4996253	0	1	0
113	1	2	7	28	25.04210862	121.4996253	0	1	0
113	1	2	7	28	25.04210862	121.4996253	0	1	0
113	1	2	7	50	25.1399505	121.5080164	0	2	0
113	1	2	7	50	25.1399505	121.5080164	0	2	0
113	1	2	7	57	25.075911	121.5271718	0	2	0
113	1	2	7	57	25.075911	121.5271718	0	2	0
113	1	2	8	10	25.09538269	121.5269318	0	2	0
113	1	2	8	10	25.09538269	121.5269318	0	2	0
113	1	2	8	11	25.03218513	121.5185914	0	1	0
113	1	2	8	11	25.03218513	121.5185914	0	1	0
113	1	2	8	18	25.057438	121.6015243	0	1	0
113	1	2	8	18	25.057438	121.6015243	0	1	0
113	1	2	8	20	25.0352246	121.5308274	0	1	0
113	1	2	8	20	25.0352246	121.5308274	0	1	0
113	1	2	8	25	25.05188506	121.5392202	0	2	0
113	1	2	8	25	25.05188506	121.5392202	0	2	0
113	1	2	8	25	25.09969017	121.5233782	0	1	0
113	1	2	8	25	25.09969017	121.5233782	0	1	0
113	1	2	8	26	25.0391918	121.5617617	0	2	0
113	1	2	8	26	25.0391918	121.5617617	0	2	0
113	1	2	8	28	25.10495446	121.511907	0	2	0
113	1	2	8	28	25.10495446	121.511907	0	2	0
113	1	2	8	28	25.10495446	121.511907	0	2	0
113	1	2	8	30	25.0765873	121.5275163	0	1	0
113	1	2	8	30	25.0765873	121.5275163	0	1	0
113	1	2	8	30	25.0765873	121.5275163	0	1	0
113	1	2	8	30	25.06910271	121.5869484	0	1	0
113	1	2	8	30	25.06910271	121.5869484	0	1	0
113	1	2	8	32	25.0363725	121.5787571	0	1	0
113	1	2	8	32	25.0363725	121.5787571	0	1	0
113	1	2	8	40	25.0460983	121.5672554	0	1	0
113	1	2	8	40	25.0460983	121.5672554	0	1	0
113	1	2	8	47	25.04239428	121.5802089	0	1	0
113	1	2	8	47	25.04239428	121.5802089	0	1	0
113	1	2	8	50	25.047331	121.5330558	0	1	0
113	1	2	8	50	25.047331	121.5330558	0	1	0
113	1	2	9	30	25.06549252	121.5903086	0	1	0
113	1	2	9	30	25.06549252	121.5903086	0	1	0
113	1	2	9	36	25.0793926	121.5445544	0	1	0
113	1	2	9	36	25.0793926	121.5445544	0	1	0
113	1	2	10	22	25.0848863	121.5735601	0	2	0
113	1	2	10	22	25.0848863	121.5735601	0	2	0
113	1	2	10	22	25.0848863	121.5735601	0	2	0
113	1	2	10	22	25.0848863	121.5735601	0	2	0
113	1	2	10	45	24.98636314	121.5647817	0	3	0
113	1	2	10	45	24.98636314	121.5647817	0	3	0
113	1	2	10	45	24.98636314	121.5647817	0	3	0
113	1	2	10	56	25.07474617	121.5261536	0	1	0
113	1	2	10	56	25.07474617	121.5261536	0	1	0
113	1	2	11	0	25.04868112	121.5624718	0	1	0
113	1	2	11	0	25.04868112	121.5624718	0	1	0
113	1	2	11	33	25.0002844	121.5484837	0	1	0
113	1	2	11	33	25.0002844	121.5484837	0	1	0
113	1	2	11	35	25.12991398	121.5010936	0	2	0
113	1	2	11	35	25.12991398	121.5010936	0	2	0
113	1	2	11	40	25.03896624	121.5101939	0	1	0
113	1	2	11	40	25.03896624	121.5101939	0	1	0
113	1	2	11	40	25.03896624	121.5101939	0	1	0
113	1	2	11	52	25.0261378	121.5417168	0	2	0
113	1	2	11	52	25.0261378	121.5417168	0	2	0
113	1	2	11	54	25.0277336	121.5344902	0	1	0
113	1	2	11	54	25.0277336	121.5344902	0	1	0
113	1	2	12	23	24.9877559	121.552383	0	1	0
113	1	2	12	23	24.9877559	121.552383	0	1	0
113	1	2	12	30	25.0715984	121.5148424	0	3	0
113	1	2	12	30	25.0715984	121.5148424	0	3	0
113	1	2	12	30	25.0715984	121.5148424	0	3	0
113	1	2	12	30	25.1221032	121.4627668	0	2	0
113	1	2	12	30	25.1221032	121.4627668	0	2	0
113	1	2	12	30	25.1221032	121.4627668	0	2	0
113	1	2	12	33	25.06494725	121.5229118	0	1	0
113	1	2	12	33	25.06494725	121.5229118	0	1	0
113	1	2	12	33	25.06494725	121.5229118	0	1	0
113	1	2	12	35	25.0334038	121.5461118	0	2	0
113	1	2	12	35	25.0334038	121.5461118	0	2	0
113	1	2	12	35	25.0334038	121.5461118	0	2	0
113	1	2	12	40	25.05616151	121.582759	0	1	0
113	1	2	12	40	25.05616151	121.582759	0	1	0
113	1	2	12	48	25.1097678	121.5220057	0	1	0
113	1	2	12	48	25.1097678	121.5220057	0	1	0
113	1	2	12	52	25.02684695	121.4980851	0	2	0
113	1	2	12	52	25.02684695	121.4980851	0	2	0
113	1	2	12	52	25.02684695	121.4980851	0	2	0
113	1	2	12	52	25.02684695	121.4980851	0	2	0
113	1	2	12	52	25.02684695	121.4980851	0	2	0
113	1	2	12	57	25.1377723	121.5465519	0	2	0
113	1	2	12	57	25.1377723	121.5465519	0	2	0
113	1	2	12	57	25.1377723	121.5465519	0	2	0
113	1	2	13	46	25.0723256	121.5806071	0	1	0
113	1	2	13	46	25.0723256	121.5806071	0	1	0
113	1	2	14	5	25.024016	121.5522544	0	1	0
113	1	2	14	5	25.024016	121.5522544	0	1	0
113	1	2	14	42	24.99659525	121.5409706	0	2	0
113	1	2	14	42	24.99659525	121.5409706	0	2	0
113	1	2	14	42	24.99659525	121.5409706	0	2	0
113	1	2	14	42	24.99659525	121.5409706	0	2	0
113	1	2	14	43	25.07140817	121.5777574	0	1	0
113	1	2	14	43	25.07140817	121.5777574	0	1	0
113	1	2	14	43	25.07140817	121.5777574	0	1	0
113	1	2	14	46	25.0687941	121.5228334	0	2	0
113	1	2	14	46	25.0687941	121.5228334	0	2	0
113	1	2	14	46	25.0687941	121.5228334	0	2	0
113	1	2	14	57	25.07032488	121.5918294	0	1	0
113	1	2	14	57	25.07032488	121.5918294	0	1	0
113	1	2	15	6	25.0021363	121.5381063	0	1	0
113	1	2	15	6	25.0021363	121.5381063	0	1	0
